package name,version,repo URL,last published
@atlaskit/embedded-document,8.1.1,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-19T17:01:12.304Z
@atlaskit/conversation,25.2.1,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-19T17:01:11.151Z
@atlaskit/feedback-collector,15.2.1,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-19T09:16:45.377Z
@atlaskit/teams-client,4.33.0,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-19T09:16:23.699Z
@atlaskit/teams-public,1.4.1,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-19T09:16:22.692Z
@atlaskit/focused-task-close-account,4.1.1,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-19T09:16:14.508Z
@atlaskit/side-nav-items,1.13.8,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-19T09:16:10.810Z
@atlaskit/native-embeds-common,1.3.1,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-19T09:16:05.381Z
@atlaskit/media-test-helpers,41.1.0,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-19T09:16:02.806Z
@atlaskit/media-avatar-picker,27.1.3,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-19T09:15:58.882Z
@atlaskit/icon-file-type,7.0.19,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-19T09:15:58.529Z
@atlaskit/media-picker,71.3.1,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-19T09:15:58.455Z
@atlaskit/media-table,19.1.3,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-19T09:15:58.415Z
@atlaskit/media-core,37.1.0,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-19T09:15:58.191Z
@atlaskit/feature-gate-js-client,5.7.0,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-19T09:15:57.350Z
@atlaskit/ads-mcp,0.20.4,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-19T09:15:55.803Z
@atlaskit/help,10.1.1,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-19T09:15:51.736Z
@atlaskit/color-picker,6.1.1,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-19T09:15:51.023Z
@atlaskit/help-layout,7.1.1,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-19T09:15:49.120Z
@atlaskit/quiz-widget,3.0.32,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-19T09:15:47.945Z
@atlaskit/editor-plugin-media-editing,4.1.1,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-19T09:15:25.328Z
